name,latitude,longitude,elevation_ft,quad,coord_source,tier,kind,notes
Walker Pass,35.662453,-118.02674,5246,Walker Pass,GNIS,1,pass,Hwy 178 / PCT; far southern Sierra crossing
Cottonwood Pass,36.452992,-118.215087,11160,Cirque Peak,GNIS,1,pass,PCT; Horseshoe Meadows approach
New Army Pass,36.490214,-118.23981,12340,Cirque Peak,GNIS,1,pass,Cottonwood Lakes approach to Langley
Army Pass,36.496602,-118.238977,12450,Cirque Peak,GNIS,1,pass,Old Army Pass (eroded/often avoided)
Shepherd Pass,36.672435,-118.344539,12000,Mount Williamson,GNIS,1,pass,Approach to Tyndall and Williamson
Forester Pass,36.69436,-118.373364,13120,Mount Williamson,GNIS,1,pass,Highest point on the PCT
Kearsarge Pass,36.772602,-118.376248,11760,Mount Clarence King,GNIS,1,pass,Onion Valley approach; major SPS gateway
Glen Pass,36.789564,-118.411592,11978,Mount Clarence King,GNIS,1,pass,JMT between Rae Lakes and Vidette
Sawmill Pass,36.882998,-118.364366,11347,Aberdeen,GNIS,1,pass,Steep east-side approach
Pinchot Pass,36.93636,-118.412413,12130,Mount Pinchot,GNIS,1,pass,JMT
Taboose Pass,36.984786,-118.413968,11360,Mount Pinchot,GNIS,1,pass,Steep east-side approach (~6000 ft gain)
Mather Pass,37.031879,-118.460102,12100,Split Mountain,GNIS,1,pass,JMT; Upper Basin
Bishop Pass,37.114656,-118.544829,11972,North Palisade,GNIS,1,pass,South Lake approach to Dusy Basin
Muir Pass,37.111603,-118.670664,11955,Mount Goddard,GNIS,1,pass,JMT; Muir Hut
Piute Pass,37.239101,-118.684003,11423,Mount Darwin,GNIS,1,pass,North Lake approach to Humphreys Basin
Donohue Pass,37.760208,-119.24848,11056,Koip Peak,GNIS,1,pass,JMT; Yosemite / Ansel Adams boundary
Tioga Pass,37.911037,-119.25793,9943,Tioga Pass,GNIS,1,pass,Hwy 120 east entrance to Yosemite
Sonora Pass,38.327691,-119.636839,9624,Sonora Pass,GNIS,1,pass,Hwy 108
Ebbetts Pass,38.544353,-119.811846,8736,Ebbetts Pass,GNIS,1,pass,Hwy 4
Carson Pass,38.693796,-119.988516,8574,Carson Pass,GNIS,1,pass,Hwy 88
Echo Summit,38.812963,-120.030183,7377,Echo Lake,GNIS,1,pass,Hwy 50
