permit_group,zone_code,zone_name,zone_type,source_url,verified_date,notes
desolation,1,Rockbound Lake,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,2,General Creek,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,3,Genevieve,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,4,Grouse Lakes,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,Special Management Area -- designated campsites only; camp within 25 ft of a marked post.
desolation,5,Brown Mountain,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,6,Rubicon,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,7,Stony Ridge,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,8,Tells,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,9,Highland,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,10,Lelands,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,11,Camper Flat,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,12,Phipps,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,13,Lakes #3 and #5,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,14,Schmidell,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,15,Dick's Peak,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,16,Middle Velma,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,17,Lower Velmas,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,18,Eagle,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,Special Management Area -- designated campsites only; camp within 25 ft of a marked post.
desolation,19,Lawrence,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,20,Red Peak,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,21,Lois,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,22,China Flat,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,23,Dick's Lake,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,24,Kalmia,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,25,Maude,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,26,Rockbound Pass,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,27,Mt. Price,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,28,Half Moon,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,29,Gilmore,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,30,Cathedral,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,31,Tyler,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,32,Twin,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,33,Aloha,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,34,Susie,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,35,Grass,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,36,Hemlock,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,Special Management Area -- designated campsites only; camp within 25 ft of a marked post.
desolation,37,Smith,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,38,Waca,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,39,American,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,40,Lake of Woods,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,Special Management Area -- designated campsites only; camp within 25 ft of a marked post.
desolation,41,Tamarack,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,42,Triangle,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,43,Lyons,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,44,Avalanche,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,45,Ralston,destination_zone,https://www.recreation.gov/permits/233261,2026-09-12,
desolation,,Tahoe Rim Trail (Thru Hike Only),thru_hike,https://www.recreation.gov/permits/233261,2026-09-12,"Selectable alongside the 45 numbered zones but not itself a numbered destination zone -- the TRT passes through Desolation, and a thru-hiker books this instead of a zone. Has no zone_code for that reason."
