feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Adams Gap|Gap|California|Auckland|36.5410597|-119.0617733
Adin Pass|Gap|California|Adin Pass|41.3465572|-120.9213565
Agassiz Col|Gap|California|North Palisade|37.1068781|-118.5298282
Agnew Pass|Gap|California|Mount Ritter|37.7338208|-119.1434774
Allen Gap|Gap|California|Rocky Hill|36.3632827|-119.0356589
Alpine Col|Gap|California|Mount Darwin|37.2148379|-118.6947257
Arc Pass|Gap|California|Mount Whitney|36.5515687|-118.2709466
Armstrong Pass|Gap|California|Freel Peak|38.8324066|-119.9124023
Army Pass|Gap|California|Cirque Peak|36.4966023|-118.2389766
Avalanche Pass|Gap|California|Sphinx Lakes|36.7485497|-118.5600981
Avenal Gap|Gap|California|Avenal Gap|35.8399582|-119.9473568
Badger Gap|Gap|California|Democrat Hot Springs|35.5460661|-118.6928667
Badger Pass|Gap|California|El Capitan|37.6657628|-119.6546087
Bagley Pass|Gap|California|Grizzly Valley|39.9471213|-120.5282738
Bakeoven Pass|Gap|California|Crag Peak|36.0091117|-118.2150813
Barker Pass|Gap|California|Homewood|39.0762958|-120.2338034
Basket Pass|Gap|California|Glennville|35.6566198|-118.6286991
Battalion Pass|Gap|California|Wawona|37.5066040|-119.6984921
Baxter Pass|Gap|California|Mount Clarence King|36.8353173|-118.3758010
Bear Trap Gap|Gap|California|Salt Spring Valley|38.0774222|-120.6877084
Beckwourth Pass|Gap|California|Beckwourth Pass|39.7915723|-120.1088140
Benson Pass|Gap|California|Matterhorn Peak|38.0151985|-119.4609983
Bird Spring Pass|Gap|California|Cane Canyon|35.5527331|-118.1342411
Bishop Pass|Gap|California|North Palisade|37.1146560|-118.5448288
Black Mountain Saddle|Gap|California|Alta Sierra|35.7438401|-118.5378652
Black Rock Pass|Gap|California|Mineral King|36.4860510|-118.5517595
Boggys Pass|Gap|California|Casa Vieja Meadows|36.1796630|-118.2667510
Boles Gap|Gap|California|Sly Park|38.6676827|-120.6218729
Bond Pass|Gap|California|Tower Peak|38.1735277|-119.6104486
Bonta Saddle|Gap|California|Sattley|39.5207362|-120.4315976
Brockway Summit|Gap|California|Martis Peak|39.2610178|-120.0713040
Brown Bear Pass|Gap|California|Emigrant Lake|38.2126930|-119.6640616
Buckeye Pass|Gap|California|Buckeye Ridge|38.1299187|-119.4793326
Buena Vista Pass|Gap|California|Mariposa Grove|37.6007663|-119.5095955
Bull Run Pass|Gap|California|Tobias Peak|35.8393947|-118.5761987
Burro Pass|Gap|California|Matterhorn Peak|38.0899204|-119.3934952
Burton Pass|Gap|California|Wren Peak|36.7538339|-118.8512153
Byers Pass|Gap|California|Standish|40.3387872|-120.4852221
Cahoon Gap|Gap|California|Mount Silliman|36.6438328|-118.7373211
Cain Spring Gap|Gap|California|California Hot Springs|35.9188391|-118.7414780
Capinero Saddle|Gap|California|Posey|35.8577282|-118.6320325
Carman Saddle|Gap|California|Portola|39.7646236|-120.4696584
Carol Col|Gap|California|Mount Tom|37.2782682|-118.7228935
Carson Pass|Gap|California|Carson Pass|38.6937964|-119.9885161
Cartridge Pass|Gap|California|Mount Pinchot|36.9754912|-118.4881561
Castle Pass|Gap|California|Norden|39.3582378|-120.3652032
Cathedral Pass|Gap|California|Tenaya Lake|37.8346473|-119.4148803
Cathewood Saddle|Gap|California|El Portal|37.6427084|-119.7690588
Chapman Saddle|Gap|California|Clio|39.6574010|-120.5227139
Chepo Saddle|Gap|California|Bass Lake|37.3488323|-119.5901453
Cherry Gap|Gap|California|Hume|36.7777240|-118.9603860
Cherry Gap|Gap|California|Breckenridge Mountain|35.4991220|-118.6228655
Chiquito Pass|Gap|California|Sing Peak|37.5416040|-119.4395865
Chuck Pass|Gap|California|Blackcap Mountain|37.0088312|-118.8589970
Cinnamon Gap|Gap|California|Case Mountain|36.4071688|-118.8278755
Colby Pass|Gap|California|Triple Divide Peak|36.6185489|-118.5012057
Cold Springs Saddle|Gap|California|California Hot Springs|35.9349495|-118.6484215
Contact Pass|Gap|California|Split Mountain|37.1079886|-118.4876054
Conway Summit|Gap|California|Lundy|38.0879777|-119.1818186
Copper Mine Pass|Gap|California|Triple Divide Peak|36.5979948|-118.5523173
Cottonwood Pass|Gap|California|Tent Hills|35.7802417|-120.2070888
Cottonwood Pass|Gap|California|Cirque Peak|36.4529917|-118.2150870
Coyote Pass|Gap|California|Tehipite Dome|36.9807738|-118.7634379
Coyote Pass|Gap|California|Kern Lake|36.3346628|-118.4859229
Crabtree Pass|Gap|California|Mount Whitney|36.5488242|-118.2814789
Crown Pass|Gap|California|Blackcap Mountain|37.0413308|-118.8567755
Cuesta Pass|Gap|California|San Luis Obispo|35.3488628|-120.6310027
Dagany Gap|Gap|California|Pyramid Hills|35.7816274|-120.0090264
Dead Mule Saddle|Gap|California|California Hot Springs|35.9171720|-118.6548105
Deadman Gap|Gap|California|Pyramid Hills|35.8346818|-120.0468046
Deadman Pass|Gap|California|Mammoth Mountain|37.6874339|-119.0695838
Deer Creek Saddle|Gap|California|Cedar Grove|36.8254975|-118.7228792
Devils Gap|Gap|California|Atascadero|35.4605867|-120.7397045
Devils Gate|Gap|California|Sweetwater Creek|38.4140833|-119.1707072
Devils Gate|Gap|California|Jackson|38.3068595|-120.8743826
Devils Gate|Gap|California|Fales Hot Springs|38.3496383|-119.3776615
Devils Gate|Gap|California|Sherman Peak|36.1827378|-120.6218325
Devils Gate|Gap|California|Curry Mountain|36.0219039|-120.4184853
Dicks Pass|Gap|California|Rockbound Valley|38.9051855|-120.1351868
Donner Pass|Gap|California|Norden|39.3190718|-120.3285346
Donohue Pass|Gap|California|Koip Peak|37.7602082|-119.2484803
Dore Pass|Gap|California|Tioga Pass|37.9852016|-119.2618215
Dorothy Lake Pass|Gap|California|Tower Peak|38.1807501|-119.5818365
Dotta Saddle|Gap|California|Reconnaissance Peak|39.8712909|-120.3482663
Dry Valley Gap|Gap|California|Grasshopper Valley|40.8426735|-120.6271763
Eagle Pass|Gap|California|Cooper Peak|38.2488028|-119.8271227
Ebbetts Pass|Gap|California|Ebbetts Pass|38.5443529|-119.8118455
Echo Summit|Gap|California|Echo Lake|38.8129628|-120.0301833
El Campo|Gap|California|Kettleman Plain|35.9852317|-120.0073565
El Paso|Gap|California|Kettleman Plain|35.9499551|-120.0037458
El Portillo|Gap|California|Los Viejos|35.9199556|-119.9412446
Elizabeth Pass|Gap|California|Triple Divide Peak|36.5988288|-118.5762066
Emigrant Gap|Gap|California|Blue Canyon|39.3004562|-120.6682676
Emigrant Pass|Gap|California|Emigrant Pass|36.3352247|-117.1408925
Emigrant Pass|Gap|California|Emigrant Lake|38.2001936|-119.6315605
Euer Saddle|Gap|California|Norden|39.3429604|-120.3399244
Farewell Gap|Gap|California|Mineral King|36.3993859|-118.5714810
Fernandez Pass|Gap|California|Sing Peak|37.5863248|-119.3854194
Fir Camp Saddle|Gap|California|Tobias Peak|35.8296727|-118.5903655
First Divide|Gap|California|Downieville|39.5851741|-120.8096677
Fordyce Summit|Gap|California|Cisco Grove|39.3454583|-120.5088182
Forester Pass|Gap|California|Mount Williamson|36.6943603|-118.3733640
Forgotten Pass|Gap|California|New York Butte|36.6918771|-117.9575850
Fortynine Gap|Gap|California|Penon Blanco Peak|37.6265999|-120.3079678
Franklin Pass|Gap|California|Mineral King|36.4119855|-118.5466180
Fredonyer Pass|Gap|California|Fredonyer Pass|40.3596137|-120.8674565
Gabbot Pass|Gap|California|Mount Abbot|37.3796577|-118.7917872
Gardiner Pass|Gap|California|Mount Clarence King|36.7985475|-118.4823202
Gem Pass|Gap|California|Koip Peak|37.7760415|-119.1607018
Giant Gap|Gap|California|Dutch Flat|39.1682320|-120.8060478
Gilbert Pass|Gap|California|Chocolate Mountain|37.4310428|-117.9387050
Glacier Pass|Gap|California|Mineral King|36.4644300|-118.5680600
Glen Pass|Gap|California|Mount Clarence King|36.7895637|-118.4115918
Goat Saddle|Gap|California|Verplank Ridge|36.8007805|-119.0890022
Goodale Pass|Gap|California|Graveyard Peak|37.4638278|-118.9404003
Granite Creek Saddle|Gap|California|Buckingham Mountain|37.5571568|-119.7634989
Granite Pass|Gap|California|Marion Peak|36.8779943|-118.6112118
Grapevine Canyon Pass|Gap|California|Scottys Castle|37.0002124|-117.3675706
Greenhorn Summit|Gap|California|Alta Sierra|35.7382847|-118.5573098
Greenville Saddle|Gap|California|Greenville|40.2015568|-120.9335676
Grizzly Pass|Gap|California|Sing Peak|37.5054939|-119.4931991
Haiwee Pass|Gap|California|Haiwee Pass|36.1346638|-118.0723035
Hamp Williams Pass|Gap|California|Emerald Mountain|35.3363487|-118.2859123
Happy Gap|Gap|California|Wren Peak|36.8507755|-118.7520467
Happy Gap|Gap|California|General Grant Grove|36.7238359|-118.9912195
Harrison Pass|Gap|California|Mount Brewer|36.6995987|-118.4038042
Heavens Gate|Gap|California|Granite Chief|39.1493501|-120.3313085
Hell for Sure Pass|Gap|California|Mount Henry|37.1457722|-118.7970555
Henness Pass|Gap|California|Sattley|39.5026807|-120.4393752
Hoffman Summit|Gap|California|Cross Mountain|35.3732926|-118.1639641
Hole-in-the Ground|Gap|California|Hockett Peak|36.2488297|-118.4039761
Hopkins Pass|Gap|California|Mount Abbot|37.4807689|-118.8423467
Hot Springs Pass|Gap|California|Ward Mountain|37.1982776|-118.9951144
Isberg Pass|Gap|California|Mount Lyell|37.6438231|-119.3262534
Island Pass|Gap|California|Mount Ritter|37.7360427|-119.1948671
Italy Pass|Gap|California|Mount Hilgard|37.3524356|-118.7837306
J.O. Pass|Gap|California|Mount Silliman|36.6757772|-118.7439884
Jawbone Pass|Gap|California|Cherry Lake North|38.0365869|-119.9410148
Jigsaw Pass|Gap|California|North Palisade|37.1202112|-118.5342733
Johnson Pass|Gap|California|Echo Lake|38.8240740|-120.0310166
