feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Abbotts Peak|Summit|California|New Melones Dam|37.9763085|-120.6222845
Adkins Mountain|Summit|California|Knowles|37.1381179|-119.8099885
Adobe Hill|Summit|California|Little Table Mountain|37.0336779|-119.8619795
Mount Aigare|Summit|California|Latrobe|38.6056499|-120.9189405
Alder Hill|Summit|California|Truckee|39.3525671|-120.1953144
Mount Alice|Summit|California|Split Mountain|37.1235772|-118.4658549
Andrews Mountain|Summit|California|Waucoba Mountain|37.0768912|-118.0827927
Antelope Mountain|Summit|California|Johnstonville|40.4533722|-120.571451
Antelope Peak|Summit|California|Lost Cannon Peak|38.4700415|-119.5560486
Mount Ararat|Summit|California|Salt Spring Valley|38.1153289|-120.7052633
Mount Ararat|Summit|California|Coloma|38.8530342|-120.9400558
Argentine Rock|Summit|California|Spring Garden|39.951961|-120.7629146
Mount Aukum|Summit|California|Aukum|38.573766|-120.7264346
Bald Mountain|Summit|California|Dinkey Creek|37.1038303|-119.205814
Bald Mountain|Summit|California|Wallace|38.1381704|-120.9498714
Bald Mountain|Summit|California|Strawberry|38.1446359|-120.0871179
Bald Mountain|Summit|California|Tunnel Hill|38.9039128|-120.7048721
Bald Mountain|Summit|California|Truckee|39.2970282|-120.1827268
Bald Peak|Summit|California|Dardanelle|38.3721787|-119.7775155
Bald Rock|Summit|California|Ben Hur|37.373723|-119.935368
Bald Rock|Summit|California|Reconnaissance Peak|39.8698153|-120.2673323
Ballard Ridge|Ridge|California|Hermit Butte|41.3623168|-120.8377258
Balloon Ridge|Ridge|California|Michigan Bluff|39.0644239|-120.6630353
Baltic Peak|Summit|California|Sly Park|38.694076|-120.5151236
Barth Mountain|Summit|California|New Melones Dam|37.9859725|-120.5622171
Bear Mountain|Summit|California|Auckland|36.5962308|-119.0472764
Becketts Backbone|Ridge|California|Shadequarter Mountain|36.5293279|-118.9817587
Bell Mountain|Summit|California|Pinecrest|38.1489191|-119.9215359
Ben Brow Hill|Summit|California|La Grange|37.6790085|-120.4101574
Berry Hill|Summit|California|Millerton Lake West|37.0506916|-119.7211821
Mount Biedeman|Summit|California|Bodie|38.1523811|-119.0679543
Big Butte|Summit|California|Sly Park|38.6764827|-120.5599525
Big Chief|Summit|California|Tahoe City|39.2409126|-120.1961865
Big Dome|Summit|California|Jackson|38.283261|-120.7762673
Big John Hill|Summit|California|Colfax|39.0327979|-120.9248205
Big John Ridge|Ridge|California|Colfax|39.039892|-120.9443091
Big Mountain|Summit|California|Slate Mountain|38.8356474|-120.6364957
Big Seven Ridge|Ridge|California|Salt Spring Valley|38.0055234|-120.6386052
Big Valley Bluff|Ridge|California|Duncan Peak|39.2355265|-120.584941
Bill Moore Ridge|Ridge|California|Auckland|36.5809061|-119.046253
Bisbee Peak|Summit|California|Irish Hill|38.491335|-120.8894984
Black Dome|Summit|California|Ebbetts Pass|38.5310408|-119.8452745
Black Hill|Summit|California|Bachelor Valley|37.974188|-120.8120386
Black Mountain|Summit|California|Westgard Pass|37.2668634|-118.2252787
Black Mountain|Summit|California|Petes Valley|40.6060509|-120.4661103
Blank Peak|Summit|California|Penon Blanco Peak|37.6947394|-120.369497
Bloods Ridge|Ridge|California|Tamarack|38.486262|-120.0524433
Blue Mountain|Summit|California|Auckland|36.550934|-119.076057
Boca Hill|Summit|California|Boca|39.3800677|-120.1178984
Boca Ridge|Ridge|California|Boca|39.4256532|-120.0524268
Bostick Mountain|Summit|California|New Melones Dam|37.9639948|-120.5350376
Boucher Mountain|Summit|California|Copperopolis|37.9563839|-120.7157724
Boulder Peak|Summit|California|Disaster Peak|38.4476661|-119.6877463
Branford Mountain|Summit|California|Trimmer|36.9515929|-119.2908152
Braly Peaks|Summit|Nevada|Aurora|38.2515978|-118.9211693
Mount Brewer|Summit|California|Mount Brewer|36.7083193|-118.4852329
Brown Rock|Pillar|California|Leek Spring Hill|38.6607431|-120.2560258
Buck Peak|Summit|California|Panoche|36.5445559|-120.873226
Buck Peak|Summit|California|The Sphinx|36.803504|-118.558037
Buck Point|Summit|California|Catheys Valley|37.485023|-120.0777253
Buckeye Hill|Summit|California|Ben Hur|37.3296819|-119.9499833
Buckeye Ridge|Ridge|California|Buckeye Ridge|38.1798219|-119.4086417
Buckhorn Mountain|Summit|California|Standard|37.9588765|-120.2754774
Buena Vista Peaks|Summit|California|Ione|38.2697428|-120.914242
Bull Run Peak|Summit|California|Spicer Meadow Reservoir|38.4754103|-119.8920929
Bunker Hill|Summit|California|Amador City|38.4244678|-120.8197751
Burlington Ridge|Ridge|California|Washington|39.3119925|-120.7920447
Burnt Mountain|Summit|California|Slide Bluffs|36.9723081|-118.7285939
Burnt Point|Summit|California|Shadequarter Mountain|36.5829025|-118.911212
Bush Mountain|Summit|California|Fales Hot Springs|38.3228153|-119.3941444
Button Mountain|Summit|California|Buckhorn Canyon|40.8526646|-120.0176183
Buttonwillow Peak|Summit|California|Tucker Mountain|36.6486406|-119.163391
Buzzard Roost|Summit|California|Auckland|36.5822881|-119.0422759
Buzzard Roost|Summit|California|Soda Springs|39.3713536|-120.4288044
Cable Point|Summit|California|Slate Mountain|38.7920194|-120.6768159
Camels Hump|Summit|California|Colfax|39.0509368|-120.9143292
Campbell Mountain|Summit|California|Wahtoke|36.6956062|-119.4213062
Cardoza Ridge|Ridge|California|La Grange|37.6387342|-120.4365205
Carmen Peak|Summit|California|Salt Spring Valley|38.0545723|-120.6623314
Cary Peak|Summit|California|Woodfords|38.7792111|-119.8483926
Castle Peak|Summit|California|Tehipite Dome|36.9873163|-118.8630268
Castle Rock|Pillar|California|Valley Springs|38.1974187|-120.8182697
Cats Head Mountain|Summit|California|Trimmer|36.958609|-119.2519914
Cave Mountain|Summit|California|Spalding Tract|40.7016816|-120.8584416
Central Hill|Summit|California|San Andreas|38.229736|-120.7364819
Cerro Colorado|Summit|California|Cerro Colorado|36.718383|-120.9572017
Cerro Gordo Peak|Summit|California|Cerro Gordo Peak|36.5380531|-117.7879128
Chalk Bluff Ridge|Ridge|California|Washington|39.2983835|-120.7770516
Cherry Mountain|Summit|California|Cherry Mountain|40.6004731|-120.0602916
