water_source_name,checked_date,source,observed_status,notes
Boyd Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Stewart's Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Maggie's Half Acre,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Doe Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Sunol Backpack Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Eagle Springs,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Boyd Camp,2026-09-04,trip planning document (this project maintainer's Ohlone Trail Sep 2026 itinerary),unclear -- contradicts official source,"This trip's own pre-trip water-carry planning table marked Boyd Camp as having no water, contradicting the official EBRPD page's ""available"" status as of 2026-09-02. Not personally confirmed on the ground by this trip (route did not stop to check) -- flagged as unresolved-conflict pending a firsthand check."
Lichen Bark (Del Valle),2026-09-05,trip itinerary document (this project maintainer's Ohlone Trail Sep 2026 itinerary),reported available,"Not covered by the official backcountry water-availability page (trailhead tap, not a backcountry spigot)."
Stanford Ave Staging Area,2026-09-06,trip itinerary document (this project maintainer's Ohlone Trail Sep 2026 itinerary),reported available,"Not covered by the official backcountry water-availability page (staging-area tap, not a backcountry spigot)."
Stromer Springs,2026-09-05,"field report (this project maintainer, in-person, Ohlone Trail Sep 2026 thru-hike)",running,"Trip's own account: ""All of the spigots we checked were functioning."" Not itemized per-source beyond this; other sources checked on this trip are not individually logged here for that reason."
